35647,7,,,44333,13195,,
35646,43,,,43778,30862,,
35645,43,,,43641,18591,,
35644,60,,,43479,18382,,45070
35643,11,,,42474,15689,,3927752
35642,26,,,42054,15679,,87.1478145108
35641,4,,,41416,20656,,
35640,120,,,35976,11396,,
35639,69,,,35781,15682,,
35638,149,,,33652,25532,,
35637,18,,,28676,13122,,
35636,56,,,28668,22022,,
35635,39,,,28621,11397,,
35634,19,,,28027,18606,,
35633,94,,,27283,13192,,
35632,318,,,27074,17316,,
35631,114,,,24267,15234,,
35630,20,,,19527,26717,,
35629,27,,,17665,27468,,
35628,56,,,16200,12903,,
35627,18,,,16131,18104,,
35626,848,,,15601,4737,,
35625,23,,,13552,15694,,
35624,29,,,13352,35505,,
35623,123,,,12963,9170,,
35622,72,,,12489,20267,,
35621,9,,,11735,9786,,
35620,135,,,8746,26761,,
35619,23,,,6646,22288,,
35618,16,,,5373,17420,,
35617,34,,,3800,20577,,
35616,28,,,1680,17265,,
35615,73,,,1400,22345,,
35614,34,,,1360,34418,,
35613,57,,,1243,27489,,
35612,38,,,1206,29018,,
35611,6,,,1178,24195,,
35610,22,,,1170,32435,,
35609,40,,,1145,14115,,
35608,8,,,1143,16838,,
35607,352,,,1137,29967,,
35606,31,,,1132,28676,,
35605,82,,,1124,2744,,
35604,23,,,1116,22475,,
35603,25,,,1111,17986,,
35602,133,,,1110,29867,,
35601,15,,,1109,6136,,
35600,15,,,1107,2719,,
35599,10,,,1101,12671,,
35598,258,,,1100,10019,,
35597,11,,,1093,34377,,
35596,130,,,1092,22980,,
35595,47,,,1083,32250,,
35594,40,,,1068,16654,,
35593,257,,,1059,9814,,
35592,27,,,1054,25985,,
35591,21,,,1053,28337,,
35590,19,,,1048,26393,,
35589,32,,,1048,3153,,
35588,176,,,1046,30000,,
35587,98,,,1046,24222,,
35586,3,,,1046,19706,,
35585,93,,,1043,27803,,
35584,6,,,1040,1323,,
35583,34,,,1038,26391,,
35582,61,,,1038,10293,,
35581,49,,,1037,32997,,
35580,21,,,1030,22820,,
35579,147,,,1030,19235,,
35578,17,,,1025,32304,,
35577,59,,,1023,6439,,
35576,83,,,1022,28842,,
35575,42,,,1022,11559,,
35574,44,,,1021,11265,,
35573,50,,,1020,3827,,
35572,103,,,1015,19051,,
35571,35,,,1013,20367,,
35570,898,,,1012,10269,,
35569,7,,,1009,3087,,
35568,346,,,1008,11039,,
35567,32,,,1004,33703,,
35566,23,,,1003,12579,,
35565,283,,,1002,29908,,
35564,52,,,1000,17263,,
35563,606,,,997,27043,,
35562,365,,,996,18075,,
35561,14,,,995,20887,,
35560,13,,,992,12877,,
35559,12,,,991,25351,,
35558,18,,,988,24738,,
35557,37,,,988,17793,,
35556,50,,,983,34665,,
35555,30,,,981,16982,,
35554,42,,,974,18647,,
35553,66,,,973,28123,,
35552,10,,,971,25305,,
35551,42,,,971,18113,,
35550,76,,,970,18103,,
35549,220,,,970,5253,,
35548,139,,,968,10131,,
35547,1,,,966,8599,,
35546,28,,,964,30912,,
35545,269,,,964,24362,,
35544,89,,,964,23872,,
35543,291,,,964,12370,,
35542,19,,,964,412,,
35541,160,,,963,30133,,
35540,53,,,963,87,,
35539,90,,,961,18433,,
35538,21,,,961,15868,,
35537,771,,,960,31896,,
35536,577,,,959,2419,,
35535,22,,,958,9862,,
35534,95,,,957,19234,,
35533,35,,,956,20754,,
35532,704,,,955,2511,,
35531,275,,,954,12041,,
35530,78,,,953,34333,,
35529,116,,,953,34000,,
35528,77,,,953,27786,,
35527,41,,,950,29301,,
35526,63,,,948,24322,,
35525,20,,,948,9868,,
35524,3,,,947,24451,,
35523,163,,,946,1123,,
35522,44,,,945,25040,,
35521,9,,,945,20483,,
35520,8,,,944,29078,,
35519,13,,,944,14923,,
35518,88,,,943,17254,,
35517,30,,,942,6583,,
35516,45,,,941,10270,,
35515,36,,,940,26744,,
35514,79,,,940,20265,,
35513,3,,,940,12657,,
35512,3,,,939,17643,,
35511,16,,,936,33526,,
35510,186,,,936,22935,,
35509,5,,,936,22247,,
35508,794,,,934,14972,,
35507,125,,,932,16621,,
35506,20,,,930,35460,,
35505,13352,,,930,35315,,
35504,66,,,930,23806,,
35503,1,,,930,15692,,
35502,11,,,929,28253,,
35501,15,,,928,29358,,
35500,8,,,928,23297,,
35499,298,,,927,24614,,
35498,24,,,926,29189,,
35497,8,,,926,10232,,
35496,6,,,925,11027,,
35495,157,,,925,9662,,
35494,421,,,925,502,,
35493,29,,,924,35279,,
35492,4,,,924,24850,,
35491,7,,,924,11283,,
35490,1,,,924,9559,,
35489,22,,,924,423,,
35488,27,,,923,30887,,
35487,10,,,923,10914,,
35486,7,,,922,2942,,
35485,8,,,920,13807,,
35484,76,,,919,19194,,
35483,239,,,919,17708,,
35482,10,,,917,21565,,
35481,126,,,916,13523,,
35480,207,,,915,34132,,
35479,103,,,914,34643,,
35478,4,,,914,27777,,
35477,79,,,914,25998,,
35476,421,,,913,5866,,
35475,54,,,910,21552,,
35474,69,,,910,16828,,
35473,32,,,908,31087,,
35472,43,,,908,26091,,
35471,44,,,907,32409,,
35470,146,,,907,24656,,
35469,33,,,907,21015,,
35468,111,,,906,18748,,
35467,21,,,903,27801,,
35466,92,,,903,27350,,
35465,9,,,902,10169,,
35464,21,,,902,9181,,
35463,17,,,901,29491,,
35462,14,,,900,27338,,
35461,8,,,899,18109,,
35460,930,,,898,35570,,
35459,64,,,898,17504,,
35458,8,,,897,8425,,
35457,80,,,896,12497,,
35456,6,,,896,4509,,
35455,247,,,894,34715,,
35454,100,,,894,4000,,
35453,65,,,893,22458,,
35452,17,,,893,11309,,
35451,71,,,892,18973,,
35450,20,,,892,8819,,
35449,402,,,892,1548,,
35448,24,,,891,27334,,
35447,658,,,891,6493,,
35446,127,,,888,34438,,
35445,18,,,887,32041,,
35444,21,,,886,22057,,
35443,10,,,885,28868,,
35442,10,,,885,20858,,
35441,31,,,885,15466,,
35440,73,,,885,7738,,
35439,33,,,884,5561,,
35438,117,,,883,26487,,
35437,2,,,883,24122,,
35436,12,,,883,19141,,
35435,69,,,883,10059,,
35434,33,,,882,23963,,
35433,51,,,882,816,,
35432,16,,,880,15688,,
35431,408,,,879,28378,,
35430,15,,,879,26594,,
35429,34,,,878,17162,,
35428,48,,,877,18872,,
35427,3,,,877,10661,,
35426,29,,,877,8734,,
35425,35,,,876,8056,,
35424,4,,,874,23291,,
